cdn:d.huazhu.com.wswebcdn.com domain:d.huazhu.com
cdn:activitycl.huazhu.com.wswebcdn.com domain:activitycl.huazhu.com
cdn:e11065.a.akamaiedge.net domain:ir.huazhu.com
cdn:wifi.huazhu.com.cdn20.com domain:wifi.huazhu.com
cdn:campaign.huazhu.com.wswebcdn.com domain:campaign.huazhu.com
cdn:cdn-ehk-ct.huazhu.com domain:cdn-ehk.huazhu.com
cdn:easy-ct.htcdn.cn domain:easy.huazhu.com
cdn:img.huazhu.com.wswebcdn.com domain:img.huazhu.com
cdn:activity.huazhu.com.cdn20.com domain:activity.huazhu.com
cdn:en.hotels.huazhu.com.wscdns.com domain:en.hotels.huazhu.com
cdn:e389ea9ea7d05ecdee794e2a555d6d52.qcloudcjgj.com domain:epsb-update.huazhu.com
cdn:e389ea9ea7d05ecdee794e2a555d6d52.qcloudcjgj.com domain:wifiportal.huazhu.com
cdn:en.booking.huazhu.com.wscdns.com domain:en.booking.huazhu.com
cdn:mgm.huazhu.com.wscdns.com domain:mgm.huazhu.com
cdn:wifiapi.huazhu.com.wscdns.com domain:wifiapi.huazhu.com
cdn:hbooking.huazhu.ccgslb.net domain:hbooking.huazhu.com
cdn:cdn-app-hk.h-world.com domain:appapi.huazhu.com
cdn:hmall-static.huazhu.com.cdn20.com domain:hmall-static.huazhu.com
cdn:hmeeting-bgp.huazhu.com domain:hmeeting.huazhu.com
cdn:mxshtc.huazhu.com domain:mail.huazhu.com
cdn:cdn-hmall-ct.htcdn.cn domain:hmall-co.huazhu.com
cdn:xssl-ct.htcdn.cn domain:nssl.huazhu.com
cdn:checkinadmin.huazhu.chinacache.net domain:checkinadmin.huazhu.com
cdn:hztv.huazhu.com.wswebcdn.com domain:hztv.huazhu.com
cdn:train.huazhu.com.wswebcdn.com domain:train.huazhu.com
cdn:cdn-m-ct.htcdn.cn domain:m.huazhu.com
cdn:appservice.huazhu.ccgslb.net domain:appservice.huazhu.com
cdn:cdn-hmall-ct.htcdn.cn domain:life.huazhu.com
cdn:excashier.huazhu.ccgslb.net domain:excashier.huazhu.com
cdn:checkin.huazhu.chinacache.net domain:checkin.huazhu.com
cdn:cdn-h5-ct.huazhu.com domain:cdn-h5s.huazhu.com
cdn:cdn-unionct.huazhu.com domain:cdn-union.huazhu.com
cdn:mg.huazhu.com.wscdns.com domain:mg.huazhu.com
cdn:cdn-enm-ct.htcdn.cn domain:en.m.huazhu.com
cdn:mg.huazhu.com.wscdns.com domain:mg.huazhu.com
cdn:mobile.huazhu.com.wscdns.com domain:mobile.huazhu.com
cdn:moa-hk.htcdn.cn domain:moa.huazhu.com
